"OBJECTID","gml_id","STNID","COOPID","WBANID","COBAN","BEG_DATE","END_DATE","NAME","COUNTRY","STATE","COUNTY","DIV","LATITUDE","LONGITUDE","ELEVATION","SE_ANNO_CAD_DATA","gml_geometry_property"
8699,"F306__9450","20010911  ","218419","99999","218419NNNNN","189402","201012","TWO HARBORS                  ","UNITED STATES                  ","MN","LAKE","03",47.010000,-91.650000,625.000000,"","Shape"
8700,"F306__9451","30000241  ","218421","99999","218421NNNNN","199801","201012","TWO HARBORS 7NW              ","UNITED STATES                  ","MN","LAKE","03",47.110000,-91.700000,1355.000000,"","Shape"
8701,"F306__9452","20011051  ","218429","99999","218429NNNNN","191607","200808","TYLER                        ","UNITED STATES                  ","MN","LINCOLN","07",44.260000,-96.110000,1735.000000,"","Shape"
8702,"F306__9453","20010783  ","218450","99999","218450NNNNN","197904","201012","UNIV OF MINN ST PAUL         ","UNITED STATES                  ","MN","RAMSEY","06",44.980000,-93.160000,970.000000,"","Shape"
8703,"F306__9454","20010796  ","218477","99999","218477NNNNN","198110","201012","VADNAIS LAKE                 ","UNITED STATES                  ","MN","RAMSEY","06",45.030000,-93.080000,890.000000,"","Shape"
8704,"F306__9455","20010739  ","218520","99999","218520NNNNN","194005","201012","VESTA                        ","UNITED STATES                  ","MN","REDWOOD","07",44.500000,-95.400000,1075.000000,"","Shape"
8705,"F306__9456","20010949  ","218543","99999","218543NNNNN","191009","198701","VIRGINIA                     ","UNITED STATES                  ","MN","ST. LOUIS","03",47.500000,-92.550000,1440.000000,"","Shape"
8706,"F306__9458","20010725  ","218552","99999","218552NNNNN","189207","201012","WABASHA                      ","UNITED STATES                  ","MN","WABASHA","09",44.380000,-92.030000,700.000000,"","Shape"
8707,"F306__9459","30002945  ","218564","99999","218564NNNNN","189309","189311","WACONIA                      ","UNITED STATES                  ","MN","CARVER","05",44.750000,-93.750000,986.000000,"","Shape"
8708,"F306__9460","20010869  ","218579","99999","218579NNNNN","188503","201012","WADENA 3 S                   ","UNITED STATES                  ","MN","WADENA","05",46.380000,-95.380000,1372.000000,"","Shape"
8709,"F306__9461","20010925  ","218613","99999","218613NNNNN","194808","195109","WALES 2E                     ","UNITED STATES                  ","MN","LAKE","03",47.250000,-91.700000,1675.000000,"","Shape"
8710,"F306__9462","20010915  ","218618","99999","218618NNNNN","190712","200804","WALKER AH GWAH CHING         ","UNITED STATES                  ","MN","CASS","02",47.060000,-94.560000,1410.000000,"","Shape"
8711,"F306__9463","20010917  ","218621","99999","218621NNNNN","190801","201012","WALKER RS                    ","UNITED STATES                  ","MN","CASS","02",47.080000,-94.560000,1360.000000,"","Shape"
8712,"F306__9464","20011054  ","218656","99999","218656NNNNN","196311","199109","WANNASKA 1 S                 ","UNITED STATES                  ","MN","ROSEAU","01",48.650000,-95.750000,1190.000000,"","Shape"
8713,"F306__9465","12002806  ","218673","99999","218673NNNNN","189309","192211","WARREN                       ","UNITED STATES                  ","MN","MARSHALL","99",48.180000,-96.730000,859.000000,"","Shape"
8714,"F306__9466","20011007  ","218675","99999","218675NNNNN","189310","199410","WARREN                       ","UNITED STATES                  ","MN","MARSHALL","01",48.200000,-96.780000,840.000000,"","Shape"
8715,"F306__9467","20011036  ","218679","99999","218679NNNNN","190103","201012","WARROAD                      ","UNITED STATES                  ","MN","ROSEAU","01",48.880000,-95.310000,1073.000000,"","Shape"
8716,"F306__9468","30003044  ","218680","99999","218680NNNNN","194305","194711","WARROAD                      ","UNITED STATES                  ","MN","ROSEAU","01",48.910000,-95.310000,1070.000000,"","Shape"
8717,"F306__9469","20010696  ","218692","99999","218692NNNNN","191408","201012","WASECA EXP STN               ","UNITED STATES                  ","MN","WASECA","08",44.060000,-93.510000,1153.000000,"","Shape"
8718,"F306__9471","20010787  ","218713","99999","218713NNNNN","194808","195111","WATERTOWN                    ","UNITED STATES                  ","MN","CARVER","05",44.960000,-93.850000,-99999.000000,"","Shape"
